age_groups,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,2014 - 2013,2015 - 2014,2016 - 2015,2017 - 2016,2018 - 2017,2019 - 2018,2020 - 2019,2021 - 2020,2022 - 2021,std,avg,avg-2std,avg+2std
20 - 24,59.31843077,63.9047757,64.46286782,60.9614821,60.42133309,61.36272076,61.57037464,62.24949914,61.99790072,62.53431657,,4.586344931,0.558092119,-3.501385717,-0.540149009,0.941387665,0.207653886,0.679124492,-0.251598416,0.536415849,0.569393405,0.306032553,-0.832754257,1.444819363
25 - 29,62.83104477,67.29644346,67.74661659,63.79283725,63.95079059,64.61686264,64.59201253,65.38058148,65.13110408,65.56373442,,4.465398688,0.450173133,-3.953779339,0.157953341,0.666072047,-0.024850108,0.788568952,-0.249477403,0.432630338,0.404422618,0.310759969,-0.498085267,1.119605206
30 - 34,67.01544098,70.75373006,70.76795231,67.50973927,67.1953154,68.01611422,67.2982797,68.21165519,67.77633692,68.04735107,,3.738289082,0.014222248,-3.258213043,-0.31442387,0.820798824,-0.717834526,0.913375495,-0.435318268,0.271014146,0.683651061,0.174466123,-1.192836,1.541768246
35 - 39,67.13470999,71.01815846,71.5873572,68.50118939,68.66048616,69.31798841,68.39685531,69.26103879,69.0426844,69.29070875,,3.88344847,0.569198734,-3.086167806,0.159296769,0.65750225,-0.921133099,0.864183479,-0.218354388,0.248024354,0.641605568,0.204446419,-1.078764716,1.487657554
40 - 44,63.73413256,68.13920164,68.58988346,65.04210221,65.19791025,65.8762297,66.06265748,67.16692346,67.36313566,67.7908016,,4.40506908,0.450681822,-3.547781253,0.155808044,0.678319445,0.186427788,1.104265975,0.196212203,0.427665942,0.374359383,0.446151254,-0.302567511,1.19487002
45 - 49,63.06585923,67.39410169,67.86504462,64.20876407,64.4402472,64.80157147,65.02777803,65.70534726,65.85670132,66.21548346,,4.328242459,0.470942933,-3.65628055,0.231483122,0.361324276,0.22620656,0.677569228,0.151354064,0.358782138,0.187023007,0.313391771,-0.060654243,0.687437785
50 - 54,61.70081699,66.04621508,66.46309383,62.80730354,62.86044334,63.14082621,63.32579713,63.94839722,64.05381612,64.35325819,,4.34539809,0.416878749,-3.655790284,0.053139798,0.280382876,0.184970914,0.622600088,0.1054189,0.299442072,0.202846201,0.249828692,-0.15586371,0.655521095
55 - 59,61.37066386,65.65322635,65.87948366,61.98980147,61.98394475,62.09448416,62.27010071,62.63986184,62.68218092,62.91322293,,4.282562498,0.226257306,-3.889682192,-0.005856719,0.110539409,0.175616552,0.369761126,0.042319083,0.231042007,0.136287325,0.151386969,-0.121187681,0.423961619
60 - 64,60.14426043,64.4475212,64.86875697,61.115591,61.09724693,61.23925695,61.29852179,61.53408683,61.5059014,61.56708119,,4.303260772,0.421235773,-3.753165972,-0.018344068,0.142010015,0.059264842,0.235565034,-0.028185428,0.061179792,0.100070019,0.078794315,-0.121345722,0.278934353
65 - 69,59.66616567,63.89470102,64.22459844,60.28134883,60.27484778,60.31902493,60.48310528,60.69163173,60.65252466,60.84594078,,4.228535347,0.329897422,-3.943249615,-0.006501052,0.04417715,0.164080352,0.208526454,-0.039107069,0.193416116,0.107899342,0.096070185,-0.119728499,0.311868869
70 - 74,57.87520095,62.0998157,62.61548623,58.91532186,59.16381786,59.33328307,59.48592047,59.91406947,59.66541283,59.56845911,,4.224614746,0.515670536,-3.700164371,0.248495998,0.169465209,0.152637403,0.428148995,-0.248656638,-0.096953721,0.243807531,0.128134968,-0.359480094,0.61575003
75 - 79,55.37046441,59.81806575,60.46406171,56.80352901,57.15179057,57.19465108,57.42507123,57.97198399,58.18600789,58.37236053,,4.447601344,0.645995954,-3.660532693,0.348261557,0.042860511,0.230420145,0.546912766,0.214023898,0.18635264,0.170679993,0.248501644,-0.092858341,0.589861629
80 - 84,52.52534941,56.97387518,57.62730268,54.24545213,54.51736698,54.76328047,55.18836083,55.77639196,56.02439821,56.27692616,,4.448525771,0.653427499,-3.38185055,0.271914852,0.245913484,0.425080358,0.58803113,0.248006258,0.252527946,0.140248396,0.310246061,0.029749269,0.590742852
85 - 89,48.17644742,52.44727891,53.07208589,49.44738234,49.40435281,49.96952835,50.09810711,51.24239694,51.94726563,52.29053421,,4.270831491,0.624806978,-3.624703552,-0.043029531,0.565175545,0.128578758,1.144289826,0.704868689,0.343268583,0.427697963,0.467264262,-0.388131664,1.322660187
,,,,,,,,,,,,,,,,,,,,,0.249237297,0.208525572,-0.289949022,0.707000166
